d3mIndex,mido,pmid,py,py2,py3,terriss,riveriss,mariss,terrAtt,rivAtt,marAtt,minpol,rbal,lnkmdist
12819,0,0,68,4624,314432,0,0,0,0,0,0,-6,0.0655618250439072,8.02715010683277
255,0,1,2,4,8,0,0,0,0,0,0,2,0.679660051277182,7.539027055824
15665,0,0,15,225,3375,0,0,0,0,0,0,NA,0.00713716108452951,7.93200315236138
15105,0,0,0,0,0,0,0,0,0,0,0,NA,0.000874051046383276,6.5875500148248
6653,0,0,38,1444,54872,0,0,1,0,0,0,2,0.0579179060083284,8.52555810774787
21007,0,0,6,36,216,0,0,0,0,0,0,-10,0.0937559309166825,8.2482674474469
1643,0,0,0,0,0,0,0,0,0,0,0,NA,0.0212938005390836,8.0013550258267
24333,0,0,62,3844,238328,0,0,0,0,0,0,-10,0.0131930706303802,8.39185670010494
14542,0,0,27,729,19683,0,0,0,0,0,0,9,0.84447523380672,7.82284529027977
10205,0,0,66,4356,287496,0,0,0,0,0,0,-7,0.0697204445941394,7.29709100516042
7350,0,0,32,1024,32768,0,0,0,0,0,0,-9,0.0319357209918414,8.01532730902172
10142,0,0,3,9,27,0,0,0,0,0,0,3,0.0577490427468458,7.29709100516042
22711,0,0,60,3600,216000,0,0,0,0,0,0,-8,0.090213063831649,8.57395152523485
23923,0,0,39,1521,59319,0,0,0,0,0,0,-3,0.0332892499527678,6.63331843328038
9226,0,0,65,4225,274625,0,0,0,0,0,0,-7,0.901443543602927,8.75904072752422
21630,0,0,74,5476,405224,0,0,0,0,0,0,-1,0.0705713626322904,8.7371316117815
22073,0,0,1,1,1,0,0,0,0,0,0,-5,0.202623029719649,7.65964295456468
20358,0,0,73,5329,389017,0,0,0,0,0,0,-9,0.0560351181798824,8.72631895096224
5928,0,0,4,16,64,0,0,0,0,0,0,-9,0.00256115745385135,8.0040315078527
5485,0,1,9,81,729,0,0,0,0,0,0,3,0.00501822800881926,7.50273821075485
17056,0,0,31,961,29791,0,0,0,0,0,0,-6,0.108515680300372,8.55929436743487
8084,0,0,4,16,64,0,0,0,0,0,0,7,0.198473282442748,8.01301211036892
22339,0,0,48,2304,110592,0,0,0,0,0,0,-8,0.0821697408492789,7.96485088744731
6494,0,0,58,3364,195112,0,0,0,0,0,0,8,0.312239044095183,8.41648848729461
21822,0,1,76,5776,438976,0,0,1,0,0,0,-1,0.86209100204499,5.8805329864007
9470,0,0,54,2916,157464,0,0,0,0,0,0,-9,0.128031272702114,7.04925484125584
6384,0,1,15,225,3375,1,0,0,0,0,0,-3,0.000320558129533359,8.10922495308995
18531,0,0,61,3721,226981,0,0,0,0,0,0,-5,0.238045629753099,8.10681603894705
13221,0,0,51,2601,132651,0,0,0,0,0,0,-3,0.27210086497581,7.49164547360513
11521,0,0,41,1681,68921,0,0,0,0,0,0,-8,0.822916666666667,7.53529670244409
11084,0,1,11,121,1331,0,0,0,0,0,0,-10,0.678047839506173,5.50533153593236
13009,0,0,3,9,27,0,0,0,0,0,0,-3,0.535622593068036,7.65396918047877
12610,0,0,5,25,125,0,0,0,0,0,0,-3,0.249115620927202,6.58340922215876
15310,0,0,2,4,8,0,0,0,0,0,0,NA,0.00683189303766509,8.0532511535491
9998,0,0,29,841,24389,0,0,0,0,0,0,-9,0.145910984433238,7.14045304310116
20697,0,0,57,3249,185193,0,0,0,0,0,0,-1,0.530837004405286,6.3578422665081
2676,0,1,31,961,29791,0,0,0,0,0,0,-5,0.455915292201181,6.97447891102505
6321,0,0,41,1681,68921,0,0,0,0,0,0,10,0.000534088709952833,8.09620827165004
8675,1,1,0,0,0,0,0,0,0,0,0,-7,0.34677086940034,7.68937110752969
15012,0,0,15,225,3375,0,0,0,0,0,0,-10,0.0464983867906624,8.07121853996986
19177,0,1,49,2401,117649,0,0,0,0,0,0,-3,0.668130709768096,5.84354441703136
2677,0,1,32,1024,32768,0,0,0,0,0,0,-5,0.473600552868003,6.97447891102505
9309,0,0,63,3969,250047,0,0,0,0,0,0,-9,0.323638937617333,8.83010431791379
23396,0,0,2,4,8,0,0,0,0,0,0,-3,0.00817002691967395,8.49515206053936
17398,0,0,13,169,2197,0,0,0,0,0,0,-10,0.235247909925749,8.92159106356398
8497,0,0,4,16,64,0,0,0,0,0,0,10,0.0575726141078838,7.49776170062257
21606,0,0,50,2500,125000,0,0,0,0,0,0,-10,0.0351234506197521,8.7371316117815
7546,0,0,16,256,4096,0,0,0,0,0,0,-6,0.621604745551046,8.18618599422608
9048,0,0,57,3249,185193,0,0,0,0,0,0,-7,0.143341444076879,8.43988008831357
19134,0,1,6,36,216,0,0,0,0,0,0,-9,0.34055235446056,5.84354441703136
16382,0,0,4,16,64,0,0,0,0,0,0,NA,0.0231390134529148,7.83913164827433
24591,0,0,59,3481,205379,0,0,0,0,0,0,4,0.0611679214893059,8.4690528160883
10617,0,0,1,1,1,0,0,0,0,0,0,-3,0.0575514398792994,8.43836641087027
7221,0,0,29,841,24389,0,0,0,0,0,0,3,0.140071959852334,7.83834331555712
3711,0,0,3,9,27,1,0,0,0,0,0,1,0.0928683785826643,7.70210434005105
20043,0,0,28,784,21952,0,0,0,0,0,0,2,0.25049439683586,8.2872767558146
10477,0,0,3,9,27,0,0,0,0,0,0,-3,0.829371660217431,7.68570306123455
20082,0,0,67,4489,300763,0,0,0,0,0,0,-4,0.391267123287671,8.2872767558146
23874,0,1,58,3364,195112,0,0,0,0,0,0,-6,0.707428170988087,6.25958146406492
5168,0,1,20,400,8000,0,0,1,0,0,0,-7,0.0197067702210708,8.98907006504365
22726,0,0,75,5625,421875,0,0,0,0,0,0,-8,0.104574925329642,8.57395152523485
19476,0,0,37,1369,50653,0,0,0,0,0,0,-9,0.118884797475013,7.2086003379602
24098,0,0,1,1,1,0,0,0,0,0,0,-3,NA,6.91075078796194
17596,0,0,24,576,13824,0,0,0,0,0,0,-1,0.0319504250855692,7.23705902612474
19255,0,1,30,900,27000,0,0,0,0,0,0,-5,0.640542133176193,5.14166355650266
7490,0,0,14,196,2744,0,0,0,0,0,0,NA,0.00031019138549272,8.27435700675629
5381,0,0,21,441,9261,0,0,1,0,0,0,10,0.061674597997092,6.59441345974978
17227,0,0,22,484,10648,0,0,0,0,0,0,-1,0.387035998331679,8.79133399330135
4646,0,0,5,25,125,1,0,0,1,0,0,-3,0.00176389694463674,8.3696208269491
17432,0,0,47,2209,103823,0,0,0,0,0,0,-6,0.14324684679162,8.92159106356398
13018,0,0,12,144,1728,0,0,0,0,0,0,-6,0.502195734002509,7.65396918047877
11416,0,0,7,49,343,0,0,0,0,0,0,-3,0.28758401131942,7.42297125104942
8234,0,0,3,9,27,0,0,1,0,0,0,-7,0.00487949762389681,6.48463523563525
18944,0,0,24,576,13824,0,0,0,0,0,0,2,0.0782315601720701,8.76139348525606
13802,0,0,13,169,2197,0,0,0,0,0,0,-3,0.298421052631579,7.31521838975297
23685,0,0,11,121,1331,0,0,0,0,0,0,-8,0.010311349179779,8.62927109482159
13321,0,0,6,36,216,0,0,0,0,0,0,7,0.0476019215454569,7.31986492980897
19343,0,1,57,3249,185193,0,0,0,0,0,0,-8,0.434747145187602,6.2709884318583
8116,0,0,4,16,64,0,0,0,0,0,0,-7,0.00345278088839119,8.3020178097512
15822,0,0,4,16,64,0,0,0,0,0,0,NA,0.0140315638450502,8.37655086161377
10476,0,0,2,4,8,0,0,0,0,0,0,-3,0.862198090245272,7.68570306123455
19601,0,0,75,5625,421875,0,0,0,0,0,0,-1,0.0950984385607603,7.48829351515943
8769,0,0,33,1089,35937,0,0,0,0,0,0,-1,0.408478945860785,7.86480400332846
1454,0,0,29,841,24389,0,0,0,0,0,0,-9,0.131534639234528,8.5131851700187
3032,0,0,39,1521,59319,0,0,0,0,0,0,0,0.580425161430748,8.08147504013705
20718,0,0,8,64,512,0,0,0,0,0,0,-3,NA,6.93537044601511
20354,0,0,69,4761,328509,0,0,0,0,0,0,-9,0.0410484516407068,8.72631895096224
23329,0,0,5,25,125,0,0,0,0,0,0,-9,0.0717836548021475,7.85205020726589
6750,0,0,65,4225,274625,0,0,0,0,0,0,7,0.285789067421413,8.75998249497728
19078,0,0,68,4624,314432,0,0,0,0,0,0,3,0.853527364757988,8.7827830173932
169,0,1,7,49,343,0,0,0,0,0,0,-1,0.353593240190747,6.55819780281227
13372,0,0,1,1,1,0,0,0,0,0,0,2,0.406576980568012,7.77191025643576
24755,0,0,49,2401,117649,0,0,0,0,0,0,-1,0.226079593564776,8.59081533128685
19910,0,0,75,5625,421875,0,0,0,0,0,0,-7,0.119906868451688,8.04686951095958
21019,0,0,3,9,27,0,0,0,0,0,0,-3,0.692290602088425,7.56579328242851
20611,0,1,26,676,17576,1,0,1,0,0,0,-8,0.71864568431092,5.50938833662798
13509,0,0,15,225,3375,0,0,0,0,0,0,-7,0.2106135986733,8.27001306227379
4538,0,0,26,676,17576,0,0,0,0,0,0,-9,0.0033293120763816,8.1164170727942
2991,0,0,88,7744,681472,0,0,0,0,0,0,7,0.574798061389338,8.03300949859667
3010,0,0,17,289,4913,0,0,0,0,0,0,2,0.857375050792361,8.08147504013705
23136,0,0,61,3721,226981,0,0,0,0,0,0,8,0.0533525980628244,7.13169851046691
18901,0,0,71,5041,357911,0,0,0,0,0,0,1,0.21670910724985,8.64909826229618
1154,0,0,89,7921,704969,0,0,0,0,0,0,8,0.188708140615899,8.16394095475501
1352,0,0,17,289,4913,0,0,0,0,0,0,-6,0.195277142985168,8.47741232140439
18006,0,0,7,49,343,0,0,0,0,0,0,8,0.00367827366356057,7.64396194900253
12530,0,0,7,49,343,0,0,0,0,0,0,-3,0.133590072742833,8.70350676947973
9359,0,0,28,784,21952,0,0,0,0,0,0,1,0.547545674664319,8.8446246833853
405,0,0,8,64,512,0,0,0,0,0,0,-5,0.329498957770401,7.78322401633604
19416,0,0,47,2209,103823,0,0,0,0,0,0,3,0.291829554339328,6.75809450442773
1534,0,0,19,361,6859,0,0,0,0,0,0,-6,0.546669450824807,8.52436739516424
20165,0,0,60,3600,216000,0,0,0,0,0,0,-9,0.649180327868852,8.59895749321888
1576,0,0,61,3721,226981,0,0,0,0,0,0,6,0.113210865429197,8.52436739516424
24584,0,0,52,2704,140608,0,0,0,0,0,0,-1,0.094766477301292,8.4690528160883
17591,0,0,19,361,6859,0,0,0,0,0,0,-1,0.0268172429875408,7.23705902612474
2585,0,1,7,49,343,0,0,0,0,0,0,-7,0.138280281107896,8.06620756800626
14170,0,0,6,36,216,0,0,0,0,0,0,-8,0.394229710384319,8.29179710504873
17031,0,0,6,36,216,0,0,0,0,0,0,-9,0.085452140502635,8.55929436743487
11612,0,0,61,3721,226981,0,0,0,0,0,0,-10,0.883151515151515,7.41697962138115
17621,0,0,49,2401,117649,0,0,0,0,0,0,-6,0.0233706334834626,7.23705902612474
17874,0,0,32,1024,32768,0,0,0,0,0,0,-6,0.0108865879061564,7.56268124672188
9873,0,0,74,5476,405224,0,0,0,0,0,0,-7,0.211007268951194,7.15148546390474
16069,0,0,6,36,216,0,0,0,0,0,0,NA,0.0128374136848713,8.36053938137086
14607,0,0,12,144,1728,0,0,0,0,0,0,9,0.00364938838953842,6.78332520060396
14159,0,0,23,529,12167,0,0,0,0,0,0,8,0.458923512747875,8.02551638648901
10417,0,0,53,2809,148877,0,0,0,0,0,0,-10,0.0794188231354529,7.01750614294126
2312,0,0,35,1225,42875,0,0,0,0,0,0,-2,0.311215612508817,8.23403420769204
12153,0,0,40,1600,64000,0,0,0,0,0,0,-9,0.0466188230469551,8.40312823512826
21162,0,0,56,3136,175616,0,0,0,0,0,0,-6,0.185199051541245,8.06148686687133
6081,0,1,37,1369,50653,1,0,0,0,0,0,-1,0.00109474555669848,7.98002359231065
18490,0,0,20,400,8000,0,0,0,0,0,0,-10,0.463032367972743,8.10681603894705
15415,0,0,3,9,27,0,0,0,0,0,0,NA,0.0602803738317757,6.53524127101366
19461,0,0,22,484,10648,0,0,0,0,0,0,-3,0.097795458312614,7.2086003379602
13909,0,0,8,64,512,0,0,0,0,0,0,10,0.920942408376963,7.08086789669078
20618,0,1,0,0,0,0,0,1,0,0,0,-8,0.985583853916386,5.50938833662798
7918,0,0,29,841,24389,0,0,0,0,0,0,10,0.00522138191013604,8.29629711264251
9319,0,0,73,5329,389017,0,0,0,0,0,0,-9,0.458819421297399,8.83010431791379
8730,0,0,9,81,729,0,0,0,0,0,0,-8,0.0167434200494068,8.15651022607997
8503,0,0,10,100,1000,0,0,0,0,0,0,7,0.168111753371869,7.49776170062257
12461,0,0,20,400,8000,0,0,0,0,0,0,-3,0.0332749086264759,8.69332898912311
8630,0,0,18,324,5832,0,0,0,0,0,0,-9,0.493063837800515,7.68937110752969
14731,0,0,1,1,1,0,0,0,0,0,0,-4,0.0297945205479452,8.12474302038557
6862,0,0,37,1369,50653,0,0,0,0,0,0,-3,0.0399312912403899,8.83419131820207
1930,0,0,0,0,0,1,0,0,0,0,0,-1,0.361075290149787,7.20711885620776
839,0,0,82,6724,551368,0,0,0,0,0,0,-7,0.167294074288572,8.45574322910002
13935,0,0,6,36,216,0,0,0,0,0,0,4,0.598707592891761,6.94793706861497
16594,0,0,58,3364,195112,0,0,0,0,0,0,-6,0.451575733133606,8.06117135969092
9435,0,0,19,361,6859,0,0,0,0,0,0,0,0.298078502217113,7.04925484125584
15684,0,0,2,4,8,0,0,0,0,0,0,NA,0.0177924791086351,7.89319886954461
20409,0,0,34,1156,39304,0,0,0,0,0,0,3,0.183960850893838,8.74735207762435
10613,0,0,68,4624,314432,0,0,0,0,0,0,-10,0.109931240989243,8.14554963178358
10244,0,0,35,1225,42875,0,0,0,0,0,0,-3,0.0486150689615867,7.37963215260955
13,0,1,10,100,1000,1,0,0,1,0,0,-6,0.664037319762511,6.89871453432999
18072,0,0,1,1,1,0,0,0,0,0,0,-8,0.0406365444728616,8.66181288102618
11797,0,0,51,2601,132651,0,0,0,0,0,0,-9,0.158949866147481,7.3790081276283
3224,0,1,21,441,9261,0,0,0,0,0,0,-5,0.023942051722843,7.31920245876785
10852,0,0,23,529,12167,0,0,0,0,0,0,0,0.247967701456708,8.6569551337914
6490,0,0,54,2916,157464,0,0,0,0,0,0,7,0.301861068677212,8.41648848729461
16547,0,0,11,121,1331,0,0,0,0,0,0,-9,0.226179558683161,8.06117135969092
11382,0,0,44,1936,85184,0,0,0,0,0,0,-9,0.911819887429643,7.5923661285198
8363,0,0,2,4,8,0,0,0,0,0,0,NA,0.138285714285714,7.56941179245071
4968,0,0,58,3364,195112,0,0,0,0,0,0,-3,0.00208822194231495,8.72745411689943
11287,0,0,29,841,24389,0,0,0,0,0,0,-10,0.061922268112982,7.94342776787637
19765,0,0,20,400,8000,0,0,0,0,0,0,-10,0.554257095158598,7.52131798019924
23626,0,0,22,484,10648,0,0,0,0,0,0,2,0.0498663320421191,8.51579221050061
12704,0,0,7,49,343,0,0,0,0,0,0,NA,0.0140564746859062,7.03878354138854
22187,0,0,1,1,1,0,0,0,0,0,0,-8,0.16016713091922,8.15708378502887
24537,0,0,5,25,125,0,0,0,0,0,0,-3,NA,8.4690528160883
21705,0,0,59,3481,205379,0,0,0,0,0,0,-5,0.467425187032419,8.75872660784204
18537,0,0,67,4489,300763,0,0,0,0,0,0,3,0.222764086040233,8.10681603894705
10234,0,0,25,625,15625,0,0,0,0,0,0,-3,0.0325578806767587,7.37963215260955
13559,0,0,9,81,729,0,0,0,0,0,0,6,0.0764304973037747,8.65014941866486
4743,0,0,13,169,2197,0,0,0,0,0,0,2,0.00542615531454467,8.63958779962984
4047,0,1,6,36,216,0,0,0,0,0,0,-9,0.056008742227421,6.91075078796194
4658,0,0,17,289,4913,0,0,0,0,0,0,-3,0.00121172037247391,8.3696208269491
2746,0,0,23,529,12167,0,0,0,0,0,0,-9,0.124157265870102,7.82724090175281
18542,0,0,72,5184,373248,0,0,0,0,0,0,-7,0.221881233696486,8.10681603894705
19431,0,0,62,3844,238328,0,0,0,0,0,0,-5,0.290322580645161,6.75809450442773
21556,0,0,0,0,0,0,0,0,0,0,0,-1,0.067325034091409,8.7371316117815
8695,0,1,19,361,6859,0,0,0,0,0,0,-7,0.685088633993743,7.68937110752969
1787,0,0,1,1,1,0,0,0,0,0,0,2,0.0893707902086414,8.4292359126571
6616,0,0,1,1,1,0,0,0,0,0,0,-3,0.0338351213682024,8.52555810774787
22164,0,0,2,4,8,0,0,0,0,0,0,-8,0.258436565570269,8.05610965954506
9216,0,0,55,3025,166375,0,0,0,0,0,0,-10,0.804042525265783,8.75904072752422
19345,0,1,59,3481,205379,0,0,0,0,0,0,-8,0.42368886269888,6.2709884318583
10951,0,0,51,2601,132651,0,0,0,0,0,0,-9,0.0664984367312606,8.70566247879643
16916,0,0,71,5041,357911,0,0,0,0,0,0,-7,0.254495944834071,8.35725915349991
14870,0,0,8,64,512,0,0,0,0,0,0,NA,0.465811965811966,5.55682806169954
22477,0,0,6,36,216,0,0,0,0,0,0,-5,0.547174447174447,8.22335889947926
11426,0,0,17,289,4913,0,0,0,0,0,0,0,0.425073457394711,7.42297125104942
5454,1,0,7,49,343,1,0,0,0,0,0,3,0.00524160742627739,7.50273821075485
24535,0,0,3,9,27,0,0,0,0,0,0,-3,NA,8.4690528160883
220,0,0,1,1,1,1,0,0,0,0,0,0,0.958400454846963,7.539027055824
5607,0,1,0,0,0,0,0,0,0,0,0,-3,0.000700464578894347,7.76556908109732
24307,0,0,36,1296,46656,0,0,0,0,0,0,-7,0.00682105612340099,8.39185670010494
19121,0,1,3,9,27,1,0,0,0,0,0,-9,0.310022026431718,5.84354441703136
17302,0,0,7,49,343,0,0,0,0,0,0,-9,0.903956558306213,8.90123035211078
8997,0,0,6,36,216,0,0,0,0,0,0,2,0.376350540216086,8.43988008831357
21977,0,0,81,6561,531441,0,0,0,0,0,0,-10,0.450878237570706,7.07496319796604
16696,0,0,70,4900,343000,0,0,0,0,0,0,-6,0.563216593194992,8.19007704971905
11087,0,1,1,1,1,0,0,0,0,0,0,-10,0.821014630438913,5.50533153593236
16836,0,0,81,6561,531441,0,0,0,0,0,0,-3,0.0908098583313191,8.04622910107538
13654,0,0,20,400,8000,0,0,0,0,0,0,8,0.317165005537099,7.52617891334615
8350,0,0,5,25,125,0,0,0,0,0,0,NA,0.486538461538462,7.61283103040736
1678,0,1,1,1,1,0,0,0,0,0,0,-4,0.00422051188498119,7.90617884039481
14730,0,0,0,0,0,0,0,0,0,0,0,NA,0.0266577807397534,8.12474302038557
13355,0,0,12,144,1728,0,0,0,0,0,0,9,0.0350477094013975,7.2291138777933
21555,0,0,89,7921,704969,0,0,0,0,0,0,-1,0.25796493902439,8.62479120201426
6335,0,0,55,3025,166375,0,0,0,0,0,0,10,0.0012872574688329,8.09620827165004
10104,0,0,50,2500,125000,0,0,0,0,0,0,-10,0.150771284485316,7.16472037877186
17725,0,0,63,3969,250047,0,0,0,0,0,0,-6,0.0339621660950005,7.11963563801764
6892,0,0,67,4489,300763,0,0,0,0,0,0,9,0.0714116000950395,8.83419131820207
23645,0,0,41,1681,68921,0,0,0,0,0,0,5,0.0443376909749567,8.51579221050061
321,0,0,13,169,2197,1,0,0,0,0,0,-5,0.111522053746252,8.20275638165564
14323,0,0,11,121,1331,0,0,0,0,0,0,NA,0.010252281266774,5.10594547390058
7796,0,1,34,1156,39304,0,0,0,0,0,0,0,0.0284247599428514,8.22255363839696
9215,0,0,54,2916,157464,0,0,0,0,0,0,-9,0.768962432915921,8.75904072752422
9656,0,0,5,25,125,0,0,0,0,0,0,NA,0.00175147109726549,7.82604401351897
17929,0,0,17,289,4913,0,0,0,0,0,0,-3,0.0102964389671701,7.78945456608667
23508,0,0,44,1936,85184,0,0,0,0,0,0,-3,0.296133039471048,8.13064796816058
19055,0,0,45,2025,91125,0,0,0,0,0,0,0,0.587607043202155,8.7827830173932
13339,0,0,24,576,13824,0,0,1,0,0,0,8,0.037107677450507,7.31986492980897
15127,0,0,10,100,1000,0,0,0,0,0,0,NA,0.0417151162790698,6.68586094706836
17570,0,1,3,9,27,0,0,0,0,0,0,-3,0.0629072267239954,6.97073007814353
7463,0,0,23,529,12167,0,0,0,0,0,0,10,0.00141365278072856,8.26487826280175
19920,0,0,85,7225,614125,0,0,0,0,0,0,6,0.148986371115457,8.04686951095958
23894,0,0,10,100,1000,0,0,0,0,0,0,-5,NA,6.63331843328038
17206,0,0,1,1,1,0,0,0,0,0,0,-9,0.55201030190299,8.79133399330135
18261,0,0,10,100,1000,0,0,0,0,0,0,-9,0.672542802790108,7.86326672400957
13223,0,0,53,2809,148877,0,0,0,0,0,0,-3,0.260928407091623,7.49164547360513
4904,0,1,80,6400,512000,0,0,1,0,0,0,-3,0.176403164708423,8.81314100828505
15278,0,0,7,49,343,0,0,0,0,0,0,NA,0.596673596673597,5.98645200528444
15824,0,0,6,36,216,0,0,0,0,0,0,NA,0.0153797865662272,8.37655086161377
8660,0,0,48,2304,110592,0,0,0,0,0,0,-10,0.306949410265894,7.68937110752969
267,0,1,14,196,2744,0,0,0,0,0,0,-5,0.669109621082177,7.539027055824
16106,0,0,10,100,1000,0,0,0,0,0,0,NA,0.0078848325178773,8.57300625623545
4724,0,1,2,4,8,0,0,1,0,0,0,9,0.00940307131975696,8.3696208269491
17003,0,0,68,4624,314432,0,0,0,0,0,0,-9,0.515840418114384,8.82702806850915
6841,0,0,16,256,4096,0,0,0,0,0,0,2,0.0855332385148183,8.83419131820207
19847,0,0,12,144,1728,0,0,0,0,0,0,2,0.131424799933999,8.04686951095958
6873,0,0,48,2304,110592,0,0,0,0,0,0,-4,0.0457206556294125,8.83419131820207
13580,0,0,2,4,8,0,0,0,0,0,0,-1,0.0205832401910264,8.71588010229646
8894,0,0,73,5329,389017,0,0,0,0,0,0,-7,0.919316880803969,8.28223006329669
3851,0,0,53,2809,148877,0,0,0,0,0,0,-10,0.74685534591195,7.75233516330229
20760,0,0,50,2500,125000,0,0,0,0,0,0,-3,0.712841253791709,6.93537044601511
7647,0,0,38,1444,54872,0,0,0,0,0,0,-6,0.0357882212968471,8.21093973337902
12175,0,0,62,3844,238328,0,0,0,0,0,0,-9,0.031175195658448,8.40312823512826
14373,0,0,7,49,343,0,0,0,0,0,0,-6,0.101544940497315,8.33495163142245
7858,0,0,39,1521,59319,0,0,0,0,0,0,-8,0.0162777656624817,8.24852912480022
16604,0,0,68,4624,314432,0,0,0,0,0,0,-6,0.442156317086746,8.06117135969092
1763,0,0,1,1,1,0,0,0,0,0,0,-9,0.00823468862583634,8.42704964156327
4347,0,1,6,36,216,1,1,0,0,0,0,2,0.213903422934058,5.37063802812766
10724,0,0,37,1369,50653,0,0,0,0,0,0,-10,0.649228453142642,8.26539293085222
15510,0,0,3,9,27,0,0,0,0,0,0,NA,0.0151408450704225,8.33206770728955
17277,0,0,72,5184,373248,0,0,0,0,0,0,-6,0.263902165022616,8.79133399330135
1474,0,0,49,2401,117649,0,0,0,0,0,0,-9,0.235441000698217,8.5131851700187
15864,0,0,2,4,8,0,0,0,0,0,0,NA,0.849173553719008,4.26267987704132
23890,0,0,6,36,216,0,0,0,0,0,0,-5,NA,6.63331843328038
12996,0,0,72,5184,373248,0,0,0,0,0,0,-1,0.492776886035313,7.55433482372575
8268,0,0,3,9,27,0,0,0,0,0,0,-3,0.0163864348817327,6.79234442747081
4936,0,0,26,676,17576,0,0,0,0,0,0,2,0.00297643918203379,8.72745411689943
20275,0,0,80,6400,512000,0,0,0,0,0,0,-7,0.131304490870209,8.61920811682297
9362,0,0,31,961,29791,0,0,0,0,0,0,0,0.493427870193619,8.8446246833853
20332,0,0,47,2209,103823,0,0,0,0,0,0,-10,0.019190102331008,8.72631895096224
18988,0,0,68,4624,314432,0,0,0,0,0,0,-9,0.0830332687040286,8.76139348525606
17403,0,0,18,324,5832,0,0,0,0,0,0,-1,0.214919427847185,8.92159106356398
2314,0,0,37,1369,50653,0,0,0,0,0,0,-1,0.334186259836817,8.23403420769204
