d3mIndex,sftpcons,sftptv2a3,sftptv2a4,sftptv2a5,sftptv2a2,sftptv2a6,logim,maccat,disp4cat,stratidc
16,0,0,0,0,1,0,-1.728128,0,1,196521
310,0,0,0,0,1,0,-1.993098,0,0,199132
109,0,0,0,0,0,0,0.2177667,0,1,197151
451,0,0,0,0,0,0,0.8081439,0,1,198511
139,1,0,1,0,0,0,1.141603,0,0,199811
237,0,0,0,0,0,0,0.7953739000000001,0,1,199511
260,0,1,0,0,0,0,-0.28835029999999995,0,0,199141
329,1,0,1,0,0,0,0.4285933,0,1,195821
366,0,0,0,0,0,0,0.07402155,0,1,197851
248,0,0,0,1,0,0,-0.3828299000000001,0,0,197011
353,1,0,1,0,0,0,-0.6692796999999999,0,0,199431
19,0,0,0,0,1,0,-1.617192,0,0,197421
296,0,0,0,0,0,0,0.5525066999999999,0,1,199212
269,0,0,0,0,0,0,0.5183445,0,0,198921
226,1,0,1,0,0,0,-0.5461041,0,1,197551
351,0,0,0,1,0,0,-1.499849,0,0,200021
3,0,0,0,0,0,0,0.5344306999999999,0,0,197431
320,0,0,0,0,0,0,-0.3383178,0,1,197641
125,0,0,0,0,0,0,0.485213,0,0,197311
280,0,0,0,1,0,0,0.7848385999999999,0,0,200311
286,0,0,0,0,1,0,-1.434112,0,1,195622
77,0,1,0,0,0,0,1.17406,0,0,200311
184,0,0,0,0,1,0,-1.095245,0,0,196831
345,0,1,0,0,0,0,-0.2321823,0,0,195622
434,1,0,0,0,1,0,-1.688984,0,1,197131
275,1,0,1,0,0,0,0.3285903,0,1,196121
294,1,0,1,0,0,0,0.1724864,0,0,196411
414,0,0,0,0,0,0,0.4950299,0,0,197711
182,0,0,0,1,0,0,-1.473551,0,1,198151
409,0,1,0,0,0,0,-0.04048295,0,0,195822
80,1,0,0,0,0,0,0.03442023,0,1,195621
307,0,0,0,0,1,0,-1.582341,0,0,195831
258,0,0,0,0,0,0,-0.28437080000000003,0,0,197741
11,1,0,1,0,0,0,-0.5069405,0,1,197641
342,0,0,0,0,0,0,-0.34078259999999994,0,0,198322
86,0,0,0,0,0,0,0.4346837000000001,0,0,198111
266,0,0,0,0,0,0,0.259542,0,0,196121
36,0,0,0,0,0,0,0.523699,0,1,197021
437,0,0,0,0,1,0,-0.8838014000000001,0,0,196341
58,0,0,0,0,1,0,-1.189167,0,1,195631
41,0,0,1,0,0,0,0.6981723000000001,0,1,199721
270,0,0,0,1,0,0,0.6020001,0,0,199621
50,0,0,0,1,0,0,0.04122272,0,0,199141
209,0,0,0,0,0,0,0.07253178,0,1,198011
363,0,1,0,0,0,0,0.1092497,0,1,197041
362,1,1,0,0,0,0,-0.06303911,0,1,198411
379,0,0,1,0,0,0,-1.326775,0,1,199532
123,0,0,0,0,0,0,0.4253065,0,0,196311
222,0,0,0,0,0,0,0.641461,0,0,197711
62,0,0,0,0,0,0,0.299736,0,0,197711
346,1,1,0,0,0,0,-0.3483965,0,0,196122
130,0,0,0,0,0,0,0.7891619000000001,0,0,199811
187,0,0,0,0,0,0,0.2847141,0,1,196312
23,0,0,0,0,0,0,-0.30434570000000005,0,1,197551
43,0,0,0,0,0,0,0.145558,0,0,197841
0,0,0,0,0,0,0,0.6600168000000001,0,0,195751
201,0,0,0,0,0,0,-0.1630531,0,0,198051
439,1,0,0,0,0,0,-0.1235612,1,0,199131
98,0,0,0,0,0,0,-1.274782,0,0,197842
304,0,0,0,0,1,0,-1.534023,0,0,195831
443,0,0,0,0,0,0,0.5291682,0,0,197851
178,0,0,0,0,1,0,-1.371453,0,1,196551
256,0,0,0,0,0,0,-0.02178735,0,0,196141
94,0,0,0,0,1,0,-0.3859523,0,0,197341
423,0,0,0,0,0,0,0.1299582,0,0,198052
95,0,0,0,0,1,0,-0.6778983000000001,0,0,197641
426,1,0,0,1,0,0,0.2453383,0,1,197151
169,0,0,0,0,1,0,-1.87934,0,0,199531
69,0,0,0,0,0,0,0.3005122,0,0,196311
305,0,0,0,0,1,0,-1.960963,0,0,196831
48,0,0,0,0,0,0,0.0475644,0,0,197341
341,0,0,0,0,0,0,-0.5070643,0,0,197221
207,0,0,0,0,1,0,-2.347706,0,1,198821
279,0,0,0,1,0,0,0.4762835999999999,0,1,199911
227,1,0,0,1,0,0,0.2128619,0,0,197011
148,0,0,0,0,0,0,0.8255290000000001,0,0,198812
143,0,0,0,0,0,0,0.30583530000000003,0,1,196141
334,0,0,0,0,0,0,-0.7200108000000001,0,0,196831
180,0,0,0,1,0,0,-1.279725,0,1,197551
356,0,0,0,0,0,0,0.6260979,0,1,198012
131,0,0,0,0,0,0,-1.254034,0,0,196331
410,1,0,0,0,0,0,-0.2884375,0,0,196521
454,1,1,0,0,0,0,-0.2723835,0,1,197213
262,0,0,0,0,0,0,0.5213882000000001,0,0,197011
324,0,0,0,0,0,0,0.07736553,0,0,197141
203,0,1,0,0,0,0,-0.3690617,0,0,199151
84,0,0,0,1,0,0,-0.189242,0,1,197841
121,0,0,0,0,1,0,-1.6600119999999998,0,0,197431
397,0,0,0,0,0,0,-0.3314266,0,1,195622
420,0,0,1,0,0,0,-0.7596169,0,0,198441
91,0,0,0,0,0,0,0.8478535,0,1,199011
82,1,0,0,0,0,0,-0.1764564,1,0,198821
267,0,0,0,0,0,0,0.11534460000000002,0,0,197021
119,0,0,0,0,1,0,-1.61717,0,1,196731
358,1,0,0,0,0,0,0.883864,0,1,199012
291,0,0,0,0,1,0,-1.861964,0,0,200021
57,0,1,0,0,0,0,0.8980461999999999,0,1,200021
321,0,0,0,0,0,0,-0.2057703,0,1,198241
257,0,0,0,0,0,0,-0.2820902,0,0,196642
376,0,1,0,0,0,0,-1.488162,0,0,197421
408,0,1,0,0,0,0,1.026292,0,0,199812
42,0,1,0,0,0,0,0.2612031,0,0,196141
105,0,1,0,0,0,0,-0.06354596,0,1,197141
388,1,0,0,0,0,0,0.3987864,1,0,198311
422,0,0,0,0,0,0,0.3537687,0,0,197552
273,0,0,0,0,0,0,0.2973768,0,0,197052
406,0,0,0,0,0,0,0.6037935000000001,0,0,198812
38,0,0,0,0,0,0,1.111212,0,1,199621
389,1,0,1,0,0,0,0.5332328000000001,0,0,197311
53,0,0,0,0,0,0,0.8051489000000001,0,0,195821
399,0,0,0,0,0,0,-0.6623618,0,1,196521
128,0,0,0,0,1,0,0.2130205,0,0,197211
290,0,0,0,0,1,0,-1.716336,0,0,198322
28,0,0,0,0,0,0,0.5076028,0,0,196311
183,1,0,0,1,0,0,-1.727445,0,1,198751
370,0,0,0,0,0,0,0.004069642,0,0,196711
163,1,0,0,1,0,0,0.4554281,0,1,195622
151,0,1,0,0,0,0,1.105788,0,0,200211
244,0,0,0,1,0,0,0.8537624,0,0,199611
202,0,0,0,0,0,0,-0.27498720000000004,0,0,198651
31,0,0,0,0,0,0,0.7936245,0,0,198811
32,0,0,0,0,0,0,0.8375164,0,0,199111
127,0,0,0,0,0,0,0.4451576,0,0,199611
185,0,0,0,0,1,0,-1.687909,0,0,198931
427,1,0,0,1,0,0,0.3117101,0,1,198052
288,0,0,0,0,1,0,-1.72314,0,1,196621
398,0,0,0,0,0,0,-0.1926027,0,1,196022
416,0,1,0,0,0,0,0.6645204,0,0,199612
147,0,0,0,0,0,0,0.5556437,0,0,197212
285,1,0,0,1,0,0,0.7584523,0,0,199621
424,0,0,0,0,0,0,-0.09758549,0,0,199251
177,0,0,0,0,1,0,-1.22425,0,1,196251
99,1,0,1,0,0,0,-1.149861,0,1,196331
338,0,0,0,0,1,0,-1.524306,0,0,199532
335,0,0,0,0,0,0,-0.8054833,0,0,197131
197,0,0,0,0,1,0,-0.8293389999999999,0,0,198241
243,0,0,0,0,0,0,0.7316524,0,0,199211
115,0,0,0,0,1,0,-1.736579,0,0,196331
404,0,0,0,0,0,0,0.5375605999999999,0,0,196511
265,0,0,0,0,0,0,0.215997,0,0,195821
72,0,0,0,0,0,0,0.6286086,0,0,198811
333,1,0,0,0,1,0,0.4142316,0,1,198921
25,0,0,0,0,1,0,-1.882907,0,0,199631
165,1,0,0,1,0,0,0.2521699,0,1,196721
337,0,0,0,0,1,0,-1.31705,0,0,198931
440,0,0,0,1,0,0,-0.1978522,0,1,196341
174,1,1,0,0,0,0,0.47478,0,0,195951
442,1,1,0,0,0,0,0.5572421999999999,0,0,196251
39,1,0,1,0,0,0,-1.077559,0,0,199532
193,1,0,1,0,0,0,1.147794,0,1,200211
314,0,0,0,0,0,0,-0.0421694,0,0,198751
396,0,0,0,0,0,0,-0.01038431,1,0,199251
88,1,0,1,0,0,0,0.9314444,0,0,199511
70,0,0,0,0,0,0,0.3516262,0,0,197211
87,0,0,0,0,0,0,0.7247439,0,0,199011
292,0,0,0,0,0,0,0.2006269,0,0,196842
242,0,0,0,0,0,0,0.4639205,0,0,198111
277,0,0,0,1,0,0,1.297873,0,0,199812
211,1,0,0,0,0,0,0.2612846,1,1,199111
9,1,1,0,0,0,0,-0.6123858,0,1,196641
359,0,1,0,0,0,0,-0.1384697,0,1,196111
195,0,0,0,0,1,0,-0.8864523999999999,0,0,197141
251,0,0,0,0,1,0,-0.6541305000000001,0,0,199911
323,1,0,1,0,0,0,0.10555330000000003,0,0,196842
192,0,0,0,0,0,0,1.009079,0,1,199711
117,1,0,0,0,1,0,-0.9989649,0,0,195831
47,1,0,1,0,0,0,0.2970668,0,0,196141
172,0,0,0,0,0,0,0.2377466,0,1,197051
